web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url,Description,ASIN,Product Description,Manufacturer
B09TPX22NF,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9,1404,https://www.amazon.in/adisa-15-6-inch-laptop-backpack-office-bag-college-travel-back-pack-32-ltrs/dp/B09TPX22NF,             ,B09TPX22NF,,
B07YFNXC3H,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)",1099,4.2,1533,https://www.amazon.in/fatmug-polyester-foldable-duffle-travel-bag-luggage-for-travel-packing-and-storage-men-and-women-60-l-black/dp/B07YFNXC3H,             ,B07YFNXC3H,,
B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,349,4.0,9235,https://www.amazon.in/adisa-laptop-backpack-31-ltrs/dp/B07G3CG9FC,             ,B07G3CG9FC,,
B089QBD333,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),1299,4.5,4533,https://www.amazon.in/arctic-fox-slope-anti-theft-23-l-backpack-with-usb-charging-port-15-inch-laptop-backpack-marble-black/dp/B089QBD333,             ,B089QB6D7B,"                                  Introducing Slope Anti-Theft backpack to secure your essentials. A Multi-functional Laptop bag that has feature-rich updates like Anti-theft, mobile charging port, and a new tech-inspired design making it a prefect bag for laptop to organize your electronics and simplify your life on-the-go..              ",
B0BL3SPN16,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,630,4.0,1119,https://www.amazon.in/north-zone-lightweight-school-bags-backpacks-for-boys-girls-stylish-men-and-women-casual-travel-laptop-bag-college-office/dp/B0BL3SPN16,             ,B0BL3S5NC1,"                                  If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.              ",
B088XG77KN,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",229,4.1,10291,https://www.amazon.in/mi-step-out-12-l-mini-backpack-small-size-red-water-repellant/dp/B088XG77KN,     ,B088XG77KN ,,"‎Korrun India Pvt. Ltd, Plot No.25, P2(4&amp;X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka "
B092VSZ69M,EXOTIC Women's Sling Bag,450,4.2,2750,https://www.amazon.in/exotic-women-s-sling-bag/dp/B092VSZ69M,             ,B092VV371V,,
B07B8K3RQK,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",699,4.4,18131,https://www.amazon.in/storite-2-pack-moisture-proof-nylon-large-size-underbed-storage-bag-for-clothes-54-x-46-x-28-cm-black-rectangular/dp/B07B8K3RQK,     ,B07B8K3RQK ,,‎SaiTech IT Pvt Ltd. 
B08M66SG5Y,Newtone Premium OXO - Biodegradable Garbage Bags Size 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,144,4.3,212,https://www.amazon.in/newtone-premium-oxo-biodegradable-garbage-bags-size-17-x-19-inches-small-120-bags-4-rolls-dustbin-bag-trash-bag-black-color/dp/B08M66SG5Y,     ,B08M66SG5Y ,"                                  Newtone Premium OXO - Biodegradable Garbage Bags (Small) Size 43 cm x 51 cm 4 Rolls (120 Bags). Each Roll has 30 Bag. Each Roll has 30 Bags. Each bag has a unique detachable tie-tape to tie the bags after use and for easy disposal. They are tough, thanks to a special type of star seal at the bottom. It comes with a perforation technology for quickly separating the bags from the roll.              ",‎Vikrant Extrusions 
B075MK4TXP,Gear Aspire 30L Medium Water Restant Office Laptop Bag/Backpack for Men/Women (Black),994,4.3,6593,https://www.amazon.in/gear-aspire-30l-medium-water-restant-office-laptop-bag-backpack-for-men-women-black/dp/B075MK4TXP,             ,B075MK4TXP,                                  Two main compartments. Two additional front pocket and two bottle pocket. Padded cushion back panel and easily adjustable padded shoulder straps with anti sweat fabric underneath. Grab handle and padded laptop sleeve with elastic tape.              ,
B0BTD4S4XF,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,1399,4.3,1351,https://www.amazon.in/american-tourister-valex-28-ltrs-large-laptop-backpack-with-bottle-pocket-and-front-organizer-black/dp/B0BTD4S4XF,             ,B0BTD4S4XF,"                                  A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self              ",
B0BRTFGG22,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.1,346,https://www.amazon.in/rozen-47-ltrs-46-cms-school-bag-class-5-12-large-5-partition-laptop-collage-office-travel-backpack-unisex/dp/B0BRTFGG22,             ,B0BRTDXVZC,"                                  A Sporty Versatile School Laptop Collage Office Backpack From ROZEN Made Of Polyester. It Has a 3 opening Compartment &amp; 2 For quick &amp; easy access to essential While the mesh padding on the back panel will feel comfortable, even on a hot day. Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 46 Cm X 33 Cm X 25 Cm.              ",
B0CJ38KTFS,NORTH ZONE 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),449,4.5,2,https://www.amazon.in/north-zone-30l-water-restant-office-laptop-bag-backpack-for-men-women-black/dp/B0CJ38KTFS,             ,B0CJ37Y2R5,"                                  NORTH ZONE Casual Laptop Backpack Practical trend backpack, both very convenient to incorporate digital equipment, but also to give you large capacity main pockets to put some clothes, some books, bottle or something else. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior quality Nylon fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. This bag will last for many years. Comfortable: breathable mesh and wide shoulder straps with plentiful sponge padding help relieve the stress from your shoulder. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well and there are two compartments and reduced burden system designed.              ",
B073JYDK7P,Skybags Cardiff Polyester 55 Cms Travel Duffle Bag (Blue),1099,4.2,9964,https://www.amazon.in/skybags-cardiff-polyester-55-cms-travel-duffle-bag-blue/dp/B073JYDK7P,             ,B073JYDK7P,                                  Skybags Cardiff Polyester 55 cms Blue Travel Duffle (DFCAR55BLU)              ,
B0B6FNPN76,Arctic Hunter Backpack for Men Premium Business Backpack Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Padded Backpack for Men,5429,4.4,226,https://www.amazon.in/arctic-hunter-backpack-for-men-premium-business-backpack-office-travel-laptop-bag-with-15-6-inch-laptop-pocket-water-scratch-resistant-multiple-pocket-comfortable-and-padded-backpack-for-men/dp/B0B6FNPN76,             ,B0B6FNPN76,,
B0BS6QM2GD,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,542,4.0,780,https://www.amazon.in/north-zone-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-dimensions-13x18-inches-compatible-with-39-62cm-15-6inch-laptop-30-l/dp/B0BS6QM2GD,             ,B0BS6QM2GD,"                                  Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space &amp; Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies &amp; accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight &amp; Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes              ",
B09W4WJ1CB,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,359,4.0,420,https://www.amazon.in/amazon-basics-20-ltrs-casual-travel-college-backpack-for-15-6-inch-laptop-water-resistant-fabric/dp/B09W4WJ1CB,     ,B09W4WJ1CB ,,"‎FLAB INTERNATIONAL PRIVATE LIMITED, FLAB INTERNATIONAL PRIVATE LIMITED ,PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA "
B0CJHV6RTS,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.0,22,https://www.amazon.in/impulse-diggy-35l-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-water-resistant-fits-up-to-16-inch-laptop-with-1-year-warranty/dp/B0CJHV6RTS,             ,B0CJHV6RTS,"                                  Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs              ",
B0BGSV19KZ,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",1599,4.3,1329,https://www.amazon.in/red-lemon-swiss-cut-design-15-6-inch-smart-laptop-backpack-bag-with-usb-charging-port-anti-theft-pocket-and-accessories-organiser-for-men-women-boys-girls/dp/B0BGSV19KZ,             ,B0BGSV19KZ,"                                  Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls              ",
B09H7PK5ML,TRUE HUMAN® Anti-Theft backpack with USB charging port and combination Number lock Laptop bag/office bag/travel bag for men and women,499,3.8,2016,https://www.amazon.in/true-human-r-anti-theft-backpack-with-usb-charging-port-and-combination-number-lock-laptop-bag-office-bag-travel-bag-for-men-and-women/dp/B09H7PK5ML,             ,B09H7PK5ML,"                                  Product description Features: Made of durable and Eco-friendly water resistant oxford textile fabric, keep your laptop dry from small rain. Built-in well padded laptop sleeve with elastic velcro strap closure. Soft air permeability padded back cushion shoulder straps make it light and make you all day comfortable. Multiple compartments allow you to keep all of your stuffs secure and organized. Night vision reflective design, which keeps you safe while bicycling at night. A anti-theft zipped pocket for your valuables. This laptop bag can used for daily walk-around, work, school, day trips, vacation, travel, day hikes ,camping etc. What you can put in this laptop backpack? - You can put 2-3 clothes, A4 books, 15.6"" laptop, i-pad, glasses, wallet, keys, earphone, power bank, camera, cell phone and document in the back pack. - You Get What You pay for! Don't compare with cheaply made, Considering the high quality of the material, components, finishing and overall design it is exceptional value for money.              ",
B088B4P6ZW,Martucci 17 inch 30L Laptop Backpack for Men and Women Casual Waterproof Office Bag/School Bag/College Bag/Casual Bag/Unisex Travel Backpack with Reflective Strip(Black),519,3.9,8006,https://www.amazon.in/martucci-17-inch-30l-laptop-backpack-for-men-and-women-casual-waterproof-office-bag-school-bag-college-bag-casual-bag-unisex-travel-backpack-with-reflective-strip-black/dp/B088B4P6ZW,             ,B088B4P6ZW,,
B0BHX7GY16,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3857,https://www.amazon.in/half-moon-large-37l-laptop-bag-backpack-for-menn-women-boys-and-girls-luggage-travel-bags-with-17-3-inches-laptop-compartment-rain-cover/dp/B0BHX7GY16,             ,B09VCLZ3K4,"                                  This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.              ",
B0C6HZDWRQ,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",529,3.7,39,https://www.amazon.in/true-human-r-emperor-15-6-inch-laptop-bag-with-usb-charging-port-laptop-bag-office-bag-college-bags-anti-theft-captain/dp/B0C6HZDWRQ,             ,B0C6HZDWRQ,,
B0C2D2GPWJ,"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",349,3.8,296,https://www.amazon.in/tabelito-r-neo-3o-l-water-resistant-laptop-college-office-school-travel-business-bag-unisex-backpack-for-men-women-fits-up-to-15-6-inch-laptop-notebook/dp/B0C2D2GPWJ,             ,B0C2D2XC4H,"                                  Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY &amp; MULTI COMPARTMENTS &amp; LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders.              ",
B09B27CYC4,"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (SNAP19CBBLK)",999,3.8,355,https://www.amazon.in/safari-snap-35-ltrs-large-laptop-backpack-with-3-compartments-water-resistant-fabric-black-snap19cbblk/dp/B09B27CYC4,             ,B09B27CYC4,"                                  Safari Snap is a 35 Litres, 3 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as office, college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.              ",
B0CKY4GLDB,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,469,4.3,17,https://www.amazon.in/half-moon-vision-water-resistant-15-6-inch-laptop-bag-for-men-backpack-for-men-office-bag-for-men-office-bag-for-women-with-padded-laptop-compartment/dp/B0CKY4GLDB,             ,B0CKY4GLDB,"                                  Introducing our stylish and practical laptop backpack, perfect for busy professionals. Made with high-quality materials and designed with the modern traveller in mind, this backpack is both functional and fashionable. Featuring a padded compartment to securely hold and protect your laptop, as well as additional pockets and compartments to keep your essentials organized, this backpack is perfect for commuting to work or taking on a long flight. The padded shoulder straps and back panel provide added comfort during long periods of use, while the water-resistant exterior keeps your belongings safe from the elements. This laptop backpack is perfect for those who need a reliable and stylish way to transport their laptop. Whether you're heading to the office or exploring a new city, this backpack has got you covered. So why wait? Order now and upgrade your travel experience with our top-quality laptop backpack!              ",
