web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url
B0BGSV19KZ,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",1599,4.3,1329,https://www.amazon.in/red-lemon-swiss-cut-design-15-6-inch-smart-laptop-backpack-bag-with-usb-charging-port-anti-theft-pocket-and-accessories-organiser-for-men-women-boys-girls/dp/B0BGSV19KZ
B0CJHV6RTS,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.0,22,https://www.amazon.in/impulse-diggy-35l-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-water-resistant-fits-up-to-16-inch-laptop-with-1-year-warranty/dp/B0CJHV6RTS
B073JYDK7P,Skybags Cardiff Polyester 55 Cms Travel Duffle Bag (Blue),1099,4.2,9964,https://www.amazon.in/skybags-cardiff-polyester-55-cms-travel-duffle-bag-blue/dp/B073JYDK7P
B0CJ38KTFS,NORTH ZONE 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),449,4.5,2,https://www.amazon.in/north-zone-30l-water-restant-office-laptop-bag-backpack-for-men-women-black/dp/B0CJ38KTFS
B0B6FNPN76,Arctic Hunter Backpack for Men Premium Business Backpack Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Padded Backpack for Men,5429,4.4,226,https://www.amazon.in/arctic-hunter-backpack-for-men-premium-business-backpack-office-travel-laptop-bag-with-15-6-inch-laptop-pocket-water-scratch-resistant-multiple-pocket-comfortable-and-padded-backpack-for-men/dp/B0B6FNPN76
B09H7PK5ML,TRUE HUMAN® Anti-Theft backpack with USB charging port and combination Number lock Laptop bag/office bag/travel bag for men and women,499,3.8,2016,https://www.amazon.in/true-human-r-anti-theft-backpack-with-usb-charging-port-and-combination-number-lock-laptop-bag-office-bag-travel-bag-for-men-and-women/dp/B09H7PK5ML
B0BHX7GY16,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3857,https://www.amazon.in/half-moon-large-37l-laptop-bag-backpack-for-menn-women-boys-and-girls-luggage-travel-bags-with-17-3-inches-laptop-compartment-rain-cover/dp/B0BHX7GY16
B088B4P6ZW,Martucci 17 inch 30L Laptop Backpack for Men and Women Casual Waterproof Office Bag/School Bag/College Bag/Casual Bag/Unisex Travel Backpack with Reflective Strip(Black),519,3.9,8006,https://www.amazon.in/martucci-17-inch-30l-laptop-backpack-for-men-and-women-casual-waterproof-office-bag-school-bag-college-bag-casual-bag-unisex-travel-backpack-with-reflective-strip-black/dp/B088B4P6ZW
B09B27CYC4,"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (SNAP19CBBLK)",999,3.8,355,https://www.amazon.in/safari-snap-35-ltrs-large-laptop-backpack-with-3-compartments-water-resistant-fabric-black-snap19cbblk/dp/B09B27CYC4
B0C6HZDWRQ,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",529,3.7,39,https://www.amazon.in/true-human-r-emperor-15-6-inch-laptop-bag-with-usb-charging-port-laptop-bag-office-bag-college-bags-anti-theft-captain/dp/B0C6HZDWRQ
B0C2D2GPWJ,"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",349,3.8,296,https://www.amazon.in/tabelito-r-neo-3o-l-water-resistant-laptop-college-office-school-travel-business-bag-unisex-backpack-for-men-women-fits-up-to-15-6-inch-laptop-notebook/dp/B0C2D2GPWJ
B09176PYDR,Frantic Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Year Age,259,3.8,3437,https://www.amazon.in/frantic-velvet-kids-school-nursery-picnic-carry-travelling-bag-2-to-5-year-age/dp/B09176PYDR
B09176PYDR,Frantic Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Year Age,259,3.8,3437,https://www.amazon.in/frantic-velvet-kids-school-nursery-picnic-carry-travelling-bag-2-to-5-year-age/dp/B09176PYDR
B0821PN8L4,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",289,4.4,35935,https://www.amazon.in/amazon-brand-presto-oxo-biodegradable-garbage-bags-medium-19-x-21-inches-30-bags-roll-pack-of-6-black/dp/B0821PN8L4
